nome,telefone,whatsapp,email
MULTIREDE DISTRIBUIDORA LTDA,(31)3464-0620,(31)3469-0305,vicente@multiredebh.com.br
MULTISTAR INDUSTRIA E COMERCIO LTDA,(11) 3835-6600,(31)94912-1593,jennifer@multivac.com.br
MURALHA MARMORES E GRANITOS LTDA,(31)3541-8518,(31) 99772-8451,mmgltda@yahoo.com.br
MYSA S/A,(32) 2102-2500,(31) 9646-4213,danielmgoncalves@vendas.abcdaconstrucao.com.br
NACIONAL TINTAS,(31) 8647-0503,(31) 9562-9265,admplatina@nacionaltintas.com.br
NADIL MATERIAIS DE CONSTRUÇÃO LTDA,(31)3491-7116,(31)99500-7272,matheuspampulhaacabamentos@gmail.com
NASCIMENTO E ASSOCIADOS CONS. E ENGa,(31)3284-9399,(31)0000,consultoria@consultare.eng.br
OLINTO ATACADISTA LTDA,(31)3452-8282,(31)99911-1230,distribuidora@distribuidorapampulha.com.br
OLIVEIRA E REZENDE VENTILAÇÃO EIRELI,,(31) 7209-9788,vendas@arejarventilacao.com
OTHON DE CARVALHO E CIA LTDA,(31) 2103-3000,(31) 98427-4362,magna.stoy@othondecarvalho.com.br
OTIMA LOCADORA DE EQUIPAMENTOS,(31) 3384-1444,(31) 99969-2372,gerencia.mgrj@otimalocadora.com.br
OXIPRIME COMERCIO DE OXIGENIO LTDA,(31)99994-5994,(31)0000,contato@oxiprimeoxigenio.com.br
PÁDUA  COMÉRCIO E INDUSTRIA LTDA,(31)3391-1662,(31) 9684-1719,elaine.b@padua.ind.br
PAINEL INDUSTRIA E COMERCIO DE DIVISORIAS E FORROS LTDA,(31)3442-9494,(31)98301-7226,paineldivisorias@gmail.com
PARADA DO PVC  MAT. CONST. LTDA,(31)3373-3699,(31)0000,compras@paradapvc.com.br
PASSALACQUA & CIA LTDA,(31)3078-5427,(31)3078-5427,revestbh04@passalacqua.com.br
PEDRARTE LTDA,(31) 3461-4493,(31) 3461-4493,guilherme@pedrarte.com.br
PERFILADOS RB LTDA,(31)3476-6055,(31)9895-9751,vendas.perfiladosrb@gmail.com
PERFINAÇO INDUSTRIA E COMERCIO LTDA,(31)3359-6800,(31) 9642-6833,laerte@perfinaco.com.br
PIRALUX INDUSTRIA E COMERCIO,(31) 3491-2232,(31) 98726-0052,renata@rpcmg.com.br
PLANALTO TINTAS LTDA,(31)3443-6846,(31)9944-4295,matriz@planaltotintas.com.br
POLIMASTER INDUSTRIA E COMERCIO LTDA,(31)3361-3272,(31)99122-6938,polimaster@polimasterbrasil.com.br
POLIPLAC DISTRIBUIDORA LTDA,(31)3348-6300,(31) 9613-0983,vagner3v@yahoo.com.br
PORTACO PORTAS DE ACO EIRELI,(31) 3434-9200,(31) 98675-1356,renato@portacobh.com.br
PORTAL CARPINTARIA E MARCENARIA LTDA,(31)3498-2066,(31)99851-3470,eugenio@portalmadeiras.com.br
PREFER BH DISTRIBUIDORA DE MATERIAIS DE CONSTRUCAO E IMPERMEABILIZANTES LTDA,(31)3383-3040,(31)98480-0449,cleverson@preferbh.com.br
PRIMEIRA CHAMA COMERCIO DE GAS LTDA,(31)3441-1400,(31)0000,primeirachama1@gmail.com
PROJELMEC VENTILAÇÃO INDUTRIAL LTDA,(51)3451-5100,(51)99951-4140,sp@projelmec.com.br
PROJEMAC MAQUINAS PARA CONSTRUÇÃO LTDA,(31)3495-3004,(31)0000,projemacgeradoresbh@gmail.com
PROJESOM PROJETOS E INSTALAÇÕES DE SOM LTDA,(31) 3285-4999 / 99981-1376,(31)0000,joaocarlos@projesom.com
RAFAEL ROMAO REIS,(31)3371-0076,(31,ppeletronico@hotmail.com
RAPIDO ANDAIMES LTDA,(31)3288-2015,(31)99227-1045,gerencia@rapidoandaimes.com.br
RBL INDUSTRIA E COMERCIO DE CONDUTORES ELETRICOS LTDA,(12) 3933-3000,(31) 98726-0052,renata@rpcmg.com.br
REAL COMERCIO LTDA,(31)3378-3500,(31)99237-0092,filial18@varejaodastintas.com.br
REAL GUINDASTES E EQUIPAMENTOS LTDA.,(31)3333-5757,(31)97170-9401,comercial@realguindastes.com
RECOMA INDÚSTRIA E COMÉRCIO DE MADEIRAS LTDA,(31)3466-0831,(31)99296-3181,junior.recoma@gmail.com
RECONTA RECUPERADORA CONTAGEM LTDA,(31)3387-4353,(31)98785-2481,recontaplasticos@gmail.com
REINOX - ARAÚJO ARTEFATOS DE AÇO LTDA,(31)3286-2727,(31) 99127-0203,reinoxaraujo@gmail.com
RELFER EMPREENDIMENTOS LTDA,3133967234,(31) 9917-8076,adm.relfer@gmail.com
RENASCER FERRO E AÇO LTDA,(31) 3442-3814,(31) 98887-4277,bruno.renascervendas@gmail.com
RENOVAR COMERCIO LTDA,(31) 3292-8225,(31)98417-5054,renovar@renovarventilacao.com.br
REVEST REVESTIMENTOS E IMPERMEABILZAÇÕES LTDA,3134813303,(31) 99984-7383,revest.geral@gmail.com
REVESTIFORM PISOS E REVESTIMENTOS LTDA,3133375777,(31) 98437-7185,tayze@revestiform.com.br
RMAD COMERCIO DE MOVEIS LTDA,(31)3282-9855,(31)0000,atendimento@madeirensemoveis.com.br
RMAD COMERCIO DE MOVEIS LTDA,(31)3282-9855,,atendimento@madeirensemoveis.com.br
RSM COMERCIO E INDUSTRIA DE METAIS LTDA,(31)3272-4300,(31)0000,riosulmetaisltda@hotmail.com
RST MONTAGENS ELETROMECANICAS LTDA,(31)3464-8788,(31)99732-9819,fernando@rst.ind.br
GRUPO ROCHA,1935569300,(31) 99392-9817,mafranrep@gmail.com
VENTILADORES & CIA,(31) 3497-9095,(31) 99659-9095,ventiladores7cia@gmail.com
SDV TELHAS E MADEIRAS LTDA,(31)3498-4101,(31) 99986-3737,sergiosvidal@yahoo.com.br
ALUMIG,(31) 3373-4411,(31) 9972-6145,projetos2@alumig.com.br
SERRALHERIA METAL ARTE,(31)3334-8825 / 99719-8825,(31)0000,metalartebh@hotmail.com
SHOPPING PEDRAS LTDA,(31) 3495-1103,(31) 99131-8288,shpedras@yahoo.com.br
SIGAFER LTDA,(31)3357-7000,(31) 99663-5922,vendas05@sigafer.com.br
SIKA SA,(31)3334-9337,(31)0000,sika.impermont@uol.com.br
SILMÁQUINAS E EQUIPAMENTOS LTDA,3136152000,(31) 99756-9646,walmor@silmaquinas.com.br
SM SEGURANÇA BELO HORIZONTE LTDA,(31)2123-0380,(31) 99941-2672,smbh.smbh@yahoo.com.br
SOCIEDADE FERRAGISTA INÊS E FILHOS LTDA,3132728580,(31) 98429-5967,ferragensipe@yahoo.com.br
SOCIEDADE IRMÃOS BARROS LTDA,(31) 2111-8208,(31) 97515-6198,rodolfo@lojadopaulo.com.br
SOLO NOVO CONCRETO,(34) 3229-5476,(31) 98866-7367,comercialcontagem4@solonovoconcreto.com.br
SOS DOS FOGÕES LTDA,(31)3071-5000,(31)98405-1603,vendas@sosdosfogoes.com.br
SQUEMA ENGENHARIA LTDA,(31)3395-1363,(31)99259-2277,squema.bh@squemaengenharia.com.br
STONO PEDRAS DECORATIVAS LTDA,,,financeiro@stonoconceito.com.br
SUPER CONCRETO LTDA,(31) 3394-3333,(31)99235-2572,mislene.marioto@superconcreto.com.br
SUPERGESSO,(31) 3442-7666,(31) 99192-5624,supergesso1@gmail.com
SUPERMIX CONCRETO S/A,(31) 3448-4395,(31) 99673-1339,vanessa.vicki@supermix.com.br
TCON PREMOLDADOS DE  CONCRETO EIRELLI,(31)3395-2147,(31) 3395-2147,fiscal@tconpremoldados.com.br
TECFER COMERCIO DE FERROS E MATERIAIS DE CONSTRUÇÃO LTDA,(31) 3374-6000,(31) 3374-6000,joyceassuncao00@gmail.com
TECNI-AR COMERCIO E MANUTENÇÃO LTDA,(31)3361-2584,(31)0000,tecni-ar@tecni-ar.com.br
TÉCNICAS EM GEOTECNIA EIRELLE,(31)3275-2479,(31) 99788-5668,comercial@tecgeo.com.br
TECNOBOMBAS LTDA,(31)3201-6132,(31)99430-5851,tecnobombasltda@hotmail.com
TECNOCRIL INDUSTRIA E COMERCIO LTDA,(31)3463-8588,(31)0000,vendas@tecnocril.com.br
TECPISO DO BRASIL LTDA,(31) 3331-6343,(31) 99831-0017,julio@tecpiso.com.br
TELAS E TANQUE REDE RHV LTDA,(31)3434-6147,(31)0000,contato@telasrhv.com.br
TELAS UNIAO INDUSTRIA E COMERCIO LTDA,(31) 9997-1934,(31) 99971-9340,viviane.magalhaes@telasuniao.com.br
TELAS UNIÃO INDUSTRIA E COMERCIO LTDA,(31)3427-9600,(31)34279600,claudio@telasuniao.com.br
TELETRON CASA DO PORTÃO ELETRÔNICO LTDA,(31)3486-1182 / 98834-0661,(31)0000,teletron@teletronbh.com.br
TERRA REVESTIMENTOS LTDA,(31)3286-4650,(31)99742-5551,vendas@tile.com.br
TOLDOS GERAIS LTDA,(31)3385-4552,(31)99614-6810,vendas@toldosgerais.com.br
TOP MADEIRA DA VIA DO MINERIO LTDA,3133837099,(31) 9244-8850,madeireiratopviadominerio@gmail.com
TOPMIX,(31) 3198-9300,(31) 98223-3022,matheus.carneiro@topmix.com.br
TOTAL AR LTDA - ME,(31)3464-7644,(31)0000,comercial4@emaccomercial.com.br
TRANSPORTADORA RÁPIDO PANAMERICANO LTDA,(31)3394-6354,(31)97180-0168,comercial@rapidopanamericano.com.br
TREVO COMÉRCIO DE ARTEF DE CIMENTO EIRELLI,(31)3625-1888,(31)3625-1888,gessoegesso@hotmail.com
TRIANGULO TELHAS COLONIAIS LTDA,(31)3441-2041,(31) 99911-4683,claudia@triangulotelhas.com.br
TROX DO BRASIL DIFUSÃO DE AR ACUSTICA FILTRAGEM VENTILAÇÃO LTDA,(11) 3037-3964,(31)97395-1627,cadastro-br@troxgroup.com
TULIMAR REPRESENTAÇÕES (CERAMFIX),(31)3421-1997 98888-9260,(31)0000,tulimar@terra.com.br
TUMA COMERCIAL LTDA,(31) 3298-2012,(31) 3298-2012,aquiles@tumacomercial.com.br
TUPI ANDAIMES ESCOR. E FORMAS LTDA,(31) 3426-2400,(31) 99178-0705,01@tupiandaimes.com.br
TUTELA EPI,(31) 9992-1973,(31) 3615-4545,vendas@tutelashop.com.br
PONTAL DO ELETRICISTA LTDA,,(31) 98250-1960,pontaleletricista@gmail.com
UNI-STEIN DO BRASIL LTDA,(31)3665-5500,(31) 98647-4993,comercial@unistein.com.br
UNIFORMES.COM LTDA,(31)3621-2394,(31)97348-7051,financeirouniformes.com@hotmail.com
VAN PISOS E CARPETES LTDA,(31)3278-1100,(31)0000,vanpisos@gmail.com
VARELLA BASTOS ENGENHARIA LTDA,(31)3225-4319 / 99983-4319,(31)0000,rodrigo@varellabastos.com.br
VENTILAR EXAUSTORES INDUSTRIA E COMERCIO LTDA,(31) 3485-1591,(31)0000,comercial@ventilarindustrial.com.br
VERA GONÇALVES UNIFORMES LTDA,(31)3374-4572 / 99606-7266,(31)0000,vendas@idealuniformes.com.br
VIAÇÃO SÃO CRISTOVÃO LTDA,(37)3229-1478,(31)0000,cargas@vsc.com.br
VIANA E PACHECO ACABAMENTOS LTDA,(31) 9913-2615,,contato@catalaoacabamentos.com.br
VIDRAÇARIA TERRA (ELENICE DUARTE DIAS - ME),(31)3390-1027,(31)99336-0981,liza@vidracariaterra.com.br
VIDRAÇARIA VITRINE LTDA,(31)3412-5055,(31) 2342-4921,contato@vidracariavitrine.com.br
VNI INDÚSTRIA E COMÉRCIO LTDA,(31)3689-0129,(31) 99770-8595,emilia.salachinski@gmail.com
VOLPENET INSTALAÇÕES LTDA,(31)3296-4345 / 99982-5406,(31)0000,andreia@volpenetredesdeprotecao.com.br
