Codigo;RazaoSocial;Código do Grupo;Grupo de Insumos;Contato;Fone;WhatsApp;Email;CNPJ;Insc. Estadual;Endereco;Numero;Bairro;Cidade;Estado;Cep;Cartão Crédito;;;;;;;;;;;;
296;COPLAS INDUSTRIA DE PLASTICO LTDA;18;ESPAÇADOR ;Claudio / Giseli;(11)4543-6126 ;(31)97313-0901;coplas@coplas.com.br, sudeste@coplas.com.br;67.718.726/0001-35;044.209.192-1115;Rua Girassol;239;Loteamento Industrial Rural;MAUÁ;SP;09372-030;NÃO;;;;;;;;;;;;
186;JERUEL PLASTICOS INDUSTRIA E COMERCIO LTDA;18;ESPAÇADOR ;Guilherme Vicentin / Pedro ;(11) 4584-9922 ;(31)97207 2354;orcamento@jeruelplast.com.br;08.357.463/0001-17;40.744.518-1119;Av. Comendador Antonio Borin;1800;Caxambu;JUNDIAÍ;SP;13.218-641;NÃO;;;;;;;;;;;;
12;ALTALUMINA ACESSÓRIOS EM ALUMÍNIO LTDA;19;ESQUADRIA DE ALUMINIO;Altamiro / Wellington;(31)3337-9707;(31)3275-3400;alumina.esquadria@gmail.com;19.584.003/0001-48;002.296.016-0070;Av. Nossa Senhora de Fátima;1829;Carlos Prates;BELO HORIZONTE;MG;30710-020;SIM;;;;;;;;;;;;
13;ALUGERAIS COMERCIO DE ALUMINIO LTDA;19;PERFIL DE ALUMINIO, ACESSÓRIOS E POLICARBONATO;Ramom / Alessandra;(31)3421-2000;(31)98436-7872;alugerais@hotmail.com, ramonalugerais@hotmail.com;01.274.520/0001-55;062.976.974-0011;Rua Juriti;50;Nova Cachoeirinha;BELO HORIZONTE;MG;31250-535;SIM;;;;;;;;;;;;
14;ALUMAFER ESQUADRIAS DE ALUMINIO E FERRO LTDA;19;ESQUADRIA DE ALUMINIO;Geraldo / Cássio / Wildson;(31)3433-4966 ;(31)99206-8885;alumafer@terra.com.br, alumafer.financeiro@gmail.com;20.764.973/0001-04;062.475.950-0072;Av. Cristiano Machado;7200;1 de Maio;BELO HORIZONTE;MG;31810-280;BNDS;;;;;;;;;;;;
15;ALUMASA INDUSTRIA DE PLASTICO E ALUMINIO LTDA;19;ESQUADRIA DE ALUMINIO;Celso José Custódio;(31)3485-2726;(31)99608-2726;fiorenza@fiorenzaengenharia.com.br;80.718.984/0001-80;25.169-4208;ROD SC 445, KM 2,5;S/N;São Pedro;URUSSANGA;SC;88840-000;SIM;;;;;;;;;;;;
31;ARTE FERRO ESQUADRIAS LTDA;19;ESQUADRIA DE ALUMINIO;Marco Toledo / Frederico;(31)3434-5666 ;(31)98421-8860;dptecnico@arteferrobh.com.br, marcotoledo@arteferrobh.com.br;17.692.302/0001-70;062.153.498-0066;Av. José Lopes Muradas;220;Floramar;BELO HORIZONTE;MG;31742-084;NÃO;;;;;;;;;;;;
130;ESTRUTURAL GLAZING COMERCIO E SERVICOS DE VIDROS EIRELI;19;ESQUADRIA DE ALUMINIO;Charles / Arlete / Lucelia;(31)3115-0507 ;(31)99854-8801;vendas2@cristalglassltda.com.br;26.277.684/0001-67;002.840-149-0073;Rua dos Pampas;908;Prado;BELO HORIZONTE;MG;30411-030;NÃO;;;;;;;;;;;;
1;FREITAS NEVES & OLIVEIRA ESQUADRIAS LTDA;19;ESQUADRIA DE ALUMINIO;Patrik / Rosana;(31)3493-7080;;contato@anacional.ind.br;06.161.399/0001-79;062.282.542-0050;Rua Lourenço Volpini;229;Dom Silvério;BELO HORIZONTE;MG;31985-230;NÃO;;;;;;;;;;;;
161;HOME INDUSTRIA DE ESQUADRIA LTDA;19;ESQUADRIA DE ALUMINIO;Junior / Fernando;(31)3514-8700;(31)0000;alox@aloxaluminium.com.br, eliana@aloxaluminium.com.br;43.526.137/0001-97;004.148.284-0090;Av. General David Sarnoff;5092;Cidade Industrial;CONTAGEM;MG;32210-110;NÃO;;;;;;;;;;;;
162;IBRAP INDUSTRIA BRASILEIRA DE ALUMINIO E PLASTICOS S/A;19;ESQUADRIA DE ALUMINIO;Leonardo;(31)99158-9291;(31)99158-9291;comenge@bol.com.br;00.130.132/0001-38;25.286-0055;Rod. Genesio Mazon ;Km 05;São Pedro;URUSSANGA;SC;88840-000;NÃO;;;;;;;;;;;;
107;J MAGALHÃES LTDA ;19;ESQUADRIA DE ALUMINIO;Nonato / Zezinho;(31)3474-2100;(31)98485-7175;estreladalva@depositoestreladalva.com.br;17.272.618/0001-03;062.005215-0045;Av. Abilio Machado;1456;Alipio de Melo;BELO HORIZONTE;MG;30820-272;SIM;;;;;;;;;;;;
212;MADEIREIRA MERCANTIL LTDA;19;ESQUADRIA DE ALUMINIO;Jose Marcos / Luiz;(31)3386-1898;(31)0000;madeireiramercantil@hotmail.com  ;19.159.615/0001-93;062.185.756-0093;Av. Amazonas;8597;Cabana Pai Tomaz;BELO HORIZONTE;MG;30510-000;SIM;;;;;;;;;;;;
286;SERRALHERIA E VIDROS TEMPERADOS SANTA CLARA LTDA;19;ESQUADRIA DE ALUMINIO;Evandro ;(31)3332-3696;(31)0000;projetos2@alumig.com.br;05.507.566/0001-28;062.219.371-0073;Rua Tibirica;388;Nova Granada;BELO HORIZONTE;MG;30431-415;SIM;;;;;;;;;;;;
95;COMPLEMIG COMPLEXO METALURGICO DE MG IND E COM;20;ESQUADRIA DE FERRO;Sebastião / Gisele;(31)3444-2444;(31)97400-9429;complemigbh@gmail.com;22.549.539/0001-37;062.539.644-0006;Rua Jacui;3071;Renascença;BELO HORIZONTE;MG;31140-650;NÃO;;;;;;;;;;;;
212;MADEIREIRA MERCANTIL LTDA;20;ESQUADRIA DE FERRO;Jose Marcos / Luiz;(31)3386-1898;(31)0000;madeireiramercantil@hotmail.com  ;19.159.615/0001-93;062.185.756-0093;Av. Amazonas;8597;Cabana Pai Tomaz;BELO HORIZONTE;MG;30510-000;SIM;;;;;;;;;;;;
127;MIGUEL ARCANJO CRUZ;20;ESQUADRIA DE FERRO;Eduardo;(31)3488-4000;(31)0000;esquadriasmetalicasmac@hotmail.com;18.223.669/0001-08;062.142.046.00-71;Rua João Carlos;1398;Sagrada Família;BELO HORIZONTE;MG;31030-360;;;;;;;;;;;;;
27;OLIVEIRA E REZENDE VENTILAÇÃO EIRELI;20;ESQUADRIA DE FERRO;André / Adelina;(31)3451-5011;(31)98494-9662;vendas@arejarventilacao.com, arejar@arejarventilacao.com;12.322.912/0001-69;1.639.110-0055;Rua Jose Ferreira dos Santos;77;Jardim Comerciários;BELO HORIZONTE;MG;31640-060;NÃO;;;;;;;;;;;;
261;PORTACO PORTAS DE ACO EIRELI;20;ESQUADRIA DE FERRO;Renato;(31)3434-9200 ;(31)98675-1356;renato@portacobh.com.br;14.441.146/0001-87;001.854.458-0068;Av. Cristiano Machado;10147;Heliopolis;BELO HORIZONTE;MG;31741-609;SIM;;;;;;;;;;;;
287;SERRALHERIA METAL ARTE;20;ESQUADRIA DE FERRO;Adilson;(31)3334-8825 / 99719-8825;(31)0000;metalartebh@hotmail.com;;;;;;;;;;;;;;;;;;;;;
62;ALVIM COMERCIO DE MADEIRAS EIRELI;21;ESQUADRIA DE MADEIRA;Sérgio Chaves;(31)3377-8899;(31)99140-5528;sergiochavesluiz1@gmail.com;24.651.750/0001.91;2.748.064-0013;Via Expressa  de Contagem ;3085;Parque São João;CONTAGEM;MG;32370-485;SIM;;;;;;;;;;;;
44;BH MADEIRAS LTDA;21;ESQUADRIA DE MADEIRA;Rêmulo / Telmo;(31)3371-8100 ;(31)99769-2033;bhmadeiras@bhmadeiras.com.br, telmo@bhmadeiras.com.br;25.168.386/0001-76;062.591.737-0078;Rua Paraoquena;105;Nova Granada;BELO HORIZONTE;MG;30.431-420;SIM;;;;;;;;;;;;
107;J MAGALHÃES LTDA ;21;ESQUADRIA DE MADEIRA;Nonato / Zezinho;(31)3474-2100;(31)98485-7175;estreladalva@depositoestreladalva.com.br;17.272.618/0001-03;062.005215-0045;Av. Abilio Machado;1456;Alipio de Melo;BELO HORIZONTE;MG;30820-272;SIM;;;;;;;;;;;;
10;J.N. MIRANDA LTDA;21;ESQUADRIA DE MADEIRA;Fagundes / Cristiano;(31)3526-1063;(31)8475-1338;comercial@allmad.com.br, cristiano@allmad.com.br;31.312.608/0001-85;003.260.150-0050;Av. Dom Pedro II;1894;Santo Andre;BELO HORIZONTE;MG;31230-052;SIM;;;;;;;;;;;;
207;MADEIRAS BALIZA COMERCIO EIRELI;21;ESQUADRIA DE MADEIRA;Dimas / Felipe / Antonia;(31)3433-3266;(31)0000;antoniaisabel@madeirasbaliza.com.br;03.907.277/0001-90;062.091.442-0096;Av. Cristiano Machado;9350;Minaslândia (P Maio);BELO HORIZONTE;MG;31812-112;;;;;;;;;;;;;
208;MADEIRAS MONTESE LTDA;21;ESQUADRIA DE MADEIRA;Orlando / Leonardo;(31)3421-3000 ;(31)99983-7941;leonardo@madeirasmontese.com.br;02.695.038/0001-51;062.857.285-0065;Rua Major Delfino de Paula;2443;São Francisco;BELO HORIZONTE;MG;31255-170;SIM;;;;;;;;;;;;
210;MADEIREIRA ESTRELA;21;ESQUADRIA DE MADEIRA;Alberto Júnior;(31)3476-8131;(31)0000;vendas@madeireiraestrela.com.br;03.328.476/0001-44;062.041.352-0012;Av. Horáclito Mourão de Miranda;2540;Castelo;BELO HORIZONTE;MG;31330-142;;;;;;;;;;;;;
211;MADEIREIRA GERAIS LTDA;21;ESQUADRIA DE MADEIRA;Domingos / Júlio;(31)2129-1090 ;(31)99835-1425;vendasjulio@madeireiragerais.com.br;02.128.529/0001-10;062.721.251-0024;Avenida Arthur Guimarães;1061;Santa Cruz;BELO HORIZONTE;MG;31150-690;SIM;;;;;;;;;;;;
192;MADEIREIRA LARA AMARAL LTDA;21;ESQUADRIA DE MADEIRA;Camilo / Conceição;(31)3474-1292 ;(31)98487-3176;madeirasrdm@hotmail.com;17.677.853/0001-65;002.108.274-0004;Rua Imperial;63;São Sebastião;BELO HORIZONTE;MG;30881-570;SIM;;;;;;;;;;;;
213;MADEIREIRA PARANAENSE LTDA;21;ESQUADRIA DE MADEIRA;Mauricio / Amanda;(31)3272-6363;(31)0000;mad.paranaense@terra.com.br;19.396.191/0001-80;062.202.598-0042;Rua Tamóios;1028;Centro;BELO HORIZONTE;MG;30120-050;SIM;;;;;;;;;;;;
214;MADEIREIRA SUPREMA LTDA;21;ESQUADRIA DE MADEIRA;Genival / Darfini;(31)3434-0013 ;(31)98799-7238;madeirassuprema@yahoo.com.br   ;07.028.564/0001-81;062.351.140-0049;Av. Cristiano Machado;9950;Floramar;BELO HORIZONTE;MG;31840-292;SIM;;;;;;;;;;;;
215;MADEPLAN MADEIREIRA PLANALTO LTDA;21;ESQUADRIA DE MADEIRA;Fábio / Henrique;(31)3464-1906;(31)0000;henriquepedrosa@madeplan.com.br, diretoria@madeplan.com.br;21.097.712/0001-40;062.272.884-0031;Av. Dom Pedro II;4130;Pedro II;BELO HORIZONTE;MG;30710-010;SIM;;;;;;;;;;;;
262;PORTAL CARPINTARIA E MARCENARIA LTDA;21;ESQUADRIA DE MADEIRA;Eugênio / Maira;(31)3498-2066;(31)99851-3470;eugenio@portalmadeiras.com.br, vendas@portalmadeiras.com.br;20.996.039/0001-18;062.291702.00-40;Rua Sena Madureira;507;Ouro Preto;BELO HORIZONTE;MG;31340-000;SIM;;;;;;;;;;;;
206;PROGRESSO MADEIRAS LTDA;21;ESQUADRIA DE MADEIRA;Belmiro ;(31)3270-3000;(31)0000;kelly@mdfsobmedida.com.br;17.157.314/0001-03;062.002.023-0132;Rua Tenente Brito Melo;1365 SL 702;Santo Agostinho;BELO HORIZONTE;MG;30180-076;;;;;;;;;;;;;
271;RECOMA INDÚSTRIA E COMÉRCIO DE MADEIRAS LTDA;21;ESQUADRIA DE MADEIRA;Júnior / Rosangela;(31)3466-0831 ;(31)99296-3181;junior.recoma@gmail.com, recomamadeiras@gmail.com;07.365.533/0001-16;062.342.733-0086;Rua Ferreira;333;Eymard;BELO HORIZONTE;MG;31930-650;SIM;;;;;;;;;;;;
206;BEL MADEIRAS E FERRAGENS EIRELI EPP;22;FERRAGEM DE PORTA;Kelly / Belmiro;(31)3270-3000;(3199359-7014;kelly@mdfsobmedida.com.br;24.717.264/0001-29;27534020050;Rua Mato Grosso;99;Centro;BELO HORIZONTE;MG;30190-080;SIM;;;;;;;;;;;;
131;EXCELSIOR COMERCIO E REPRESENTAÇÕES LTDA;22;FERRAGEM DE PORTA;Wander Ferreira;(31)3238-5955 ;(31)99659-4337;gerente3@excelsiorbh.com.br;17.245.317/0001-90;062.008.077-0052;Av do Contorno;7357;Santo Antonio;BELO HORIZONTE;MG;30710-047;SIM;;;;;;;;;;;;
141;FERRAGENS ATUAL LTDA;22;FERRAGEM DE PORTA;Ricardo / Ferreira;(31)3273-1422;(31)0000;ferreira@ferragensatual.com.br;68.548.262/0001-29;062.821.941-0077;Av. Santos Dumont;371;Centro;BELO HORIZONTE;MG;30111-040;SIM;;;;;;;;;;;;
142;FERRAGENS DOURADA LTDA;22;FERRAGEM DE PORTA;Roque ;(31)3785-9608;(31)98684-9399;douradavenda@gmail.com, roqueadm@outlook.com;65.097.156/0001-88;062.705.668-0070;Rua Tamóios;951;Centro;BELO HORIZONTE;MG;30120-050;SIM;;;;;;;;;;;;
143;FERRAGENS ROMA LTDA;22;FERRAGEM DE PORTA;Ana Paula / Carlos / Carolina;(31)3273-7077 ;(31)99269-0173;contato@ferragensroma.com.br, vendas@ferragensroma.com.br;17.591.579/0001-07;062.357.271-0013;Av. do Contorno;6997;Santo Antonio;BELO HORIZONTE;MG;30110-043;SIM;;;;;;;;;;;;
295;SOCIEDADE FERRAGISTA INÊS E FILHOS LTDA;22;FERRAGEM DE PORTA;Reinaldo / Luciana;(31)3272-8580  ;(31)8429-5967;ferragensipe@yahoo.com.br;05.444.600/0001-62;062.216.165-0067;Rua Tamoios;910;Centro;BELO HORIZONTE;MG;30120-050;SIM;;;;;;;;;;;;
82;COFERMETA S.A;23;FERRAMENTA;Carlos Moreira / Dayse;(31) 3290-2100;(31)0000;ferramenta@cofermeta.com.br;17.281.973/0002-20;062.001.061-0145;Rua Paracatu;288;Barro Preto;BELO HORIZONTE;MG;30180-090;SIM;;;;;;;;;;;;
98;CONEPAR COMERCIO DE PARAFUSOS LTDA;23;FERRAMENTA;Edilson;(31)3373-1039;(31)0000;conepar@conepar.com.br;64.408.289/0001-65;062.753.194-0050;Av. Barão Homem de Melo;1496;Nova Suissa;BELO HORIZONTE;MG;30421-285;SIM;;;;;;;;;;;;
232;MINAS FERRAMENTAS LTDA;23;FERRAMENTA;Lucio;(31)3279-6000;(31)0000;lucio@minasferramentas.com.br;17.194.994/0001-27;062.008.042.00-94;Av. Bias Fortes;1853;Barro Preto;BELO HORIZONTE;MG;30170-019;;;;;;;;;;;;;
234;MJS CABOS E FERRAMENTAS;23;FERRAMENTA;Magno Marcio;(31)3476-6047 ;(31)98751-5252;mjscabos@gmail.com, comercialmjs@gmail.com ;26.646.993/0001-67;002.873.564-0073;Av. das Americas;300;São Sebastião;CONTAGEM;MG;32.150-000;NÃO;;;;;;;;;;;;
199;SOCIEDADE IRMÃOS BARROS LTDA;23;FERRAMENTA;Rodolfo;(31)2111-8208;(31)97515-6198;rodolfo@lojadopaulo.com.br;17.581.836/0006-34;062.202.275-0585;Rua Guajajaras;873;Centro;BELO HORIZONTE;MG;31180-105;SIM;;;;;;;;;;;;
82;COFERMETA S.A;24;FERRAMENTA ELÉTRICA;Carlos Moreira / Dayse;(31) 3290-2100;(31)0000;ferramenta@cofermeta.com.br;17.281.973/0002-20;062.001.061-0145;Rua Paracatu;288;Barro Preto;BELO HORIZONTE;MG;30180-090;SIM;;;;;;;;;;;;
199;SOCIEDADE IRMÃOS BARROS LTDA;24;FERRAMENTA ELÉTRICA;Rodolfo;(31)2111-8208;(31)97515-6198;rodolfo@lojadopaulo.com.br;17.581.836/0006-34;062.202.275-0585;Rua Guajajaras;873;Centro;BELO HORIZONTE;MG;31180-105;SIM;;;;;;;;;;;;
22;ARCELORMITTAL BRASIL S.A ;25;FERRO E AÇO;Rafael Sade / Rose Barbosa;(31)3379-1400;(31)99814-1909;rosemeire.barbosa@arcelormittal.com.br;17.469.701/0038-69;062.094.007-0986;BR 262;Km3;Olhos D'Água;BELO HORIZONTE;MG;35622-920 ;SIM;;;;;;;;;;;;
81;COBRAÇO COM. BRASILEIRA DE AÇO LTDA;25;FERRO E AÇO;Liliene;(31)3383-3067 ;(31)3524-4183;liliene@grupocobraco.com.br, claudia@grupocobraco.com.br;01.585.295/0001-78;062.327.992-0093;Anel Rodoviário ;3693;Vila Bernadti;BELO HORIZONTE;MG;31950-640;SIM;;;;;;;;;;;;
112;FERRAGENS SANTA MONICA LTDA;25;FERRO E AÇO;Mário / Fernanda;(31)3328-7021;(31)97148-8890;fernanda@acosantaclara.com.br, vendas@acosantaclara.com.br, ;42.841.924/0001-60;062.801.807-0040;Av. Hegel Raymundo de Castro Lima;285;Dist. Ind. Dr. Helio Pentagna Guimarães;CONTAGEM;MG;32113-485;SIM;;;;;;;;;;;;
152;GERDAU AÇOS LONGOS S.A;25;FERRO E AÇO;Raphael Bernadino / Caio;(31)3369-1453 ;(31)98499-8468;caio.santos@gerdau.com.br;07.358.761/0239-67;001.541.369-4679;Rodovia BR 381;1575;Bandeirantes;CONTAGEM;MG;32240-090;SIM;;;;;;;;;;;;
290;SIGAFER LTDA;25;FERRO E AÇO;Teodoro / Claudio / Michael;(31)3357-7000;(31)0000;teodoro@sigafer.com.br, sigafer@sigafer.com.br;04.599.257/0001-62;186.138.997-0089;Av. Severino Ballesteros Rodrigues;923;São Joaquim;CONTAGEM;MG;32113-055;;;;;;;;;;;;;
303;TECFER COMERCIO DE FERROS E MATERIAIS DE CONSTRUÇÃO LTDA;25;FERRO E AÇO;Alexandre / Claudia;(31)3374-6000;(31)3374-6000;gerencia@tecfer.com.br, gerentegeral@tecfer.com.br;42.979.237/0001-06;062.824.992-0073;Av. Tereza Cristina;6822;Nova Vista;BELO HORIZONTE;MG;30516-120;SIM;;;;;;;;;;;;
6;ACR COMERCIO DE PARAFUSOS LTDA;26;FIXAÇÃO ;Robson / Cleber ;(31)3426-1081;(31)98818-5607;acrparafusos@acrparafusos.com.br, cleber@acrparafusos.com.br;66.190.117/0001-93;062.755.822-0091;Av. Artur Guimaraes;185;Santa Cruz;BELO HORIZONTE;MG;31150-690;SIM;;;;;;;;;;;;
86;COMERCIAL ISO LTDA;26;FIXAÇÃO ;Sabrina / Américo / Guilherme;(31)3223-5622;(31)3223-5622;comercialiso@comercialiso.com.br;97.397.491/0001-98;062.877270.00-40;Rua Antônio de Albuquerque;247 SL 204;Funcionários;BELO HORIZONTE;MG;30112-010;SIM;;;;;;;;;;;;
200;LOJA DOS PARAFUSOS LTDA;26;FIXAÇÃO ;Fernando / Luiz Carlos;(31)3271-1012;(31)0000;vendas@lojapar.com.br;22.061.279/0001-56;062.495.857-0003;Rua Tupis;986;Centro;BELO HORIZONTE;MG;30190-066;SIM;;;;;;;;;;;;
62;ALVIM COMERCIO DE MADEIRAS EIRELI;27;FORMA PARA CONCRETO;Sérgio Chaves;(31)3377-8899;(31)99140-5528;sergiochavesluiz1@gmail.com;24.651.750/0001.91;2.748.064-0013;Via Expressa  de Contagem ;3085;Parque São João;CONTAGEM;MG;32370-485;SIM;;;;;;;;;;;;
37;ATEX DO BRASIL LOCAÇÃO DE EQUIPAMENTOS LTDA;27;FORMA PARA CONCRETO;Ronaldo Buldrini / Nancy;(31)3681-3611 ;(31)99297-0847;nancy.magalhaes@atex.com.br, atex@atex.com.br ;65.354.649/0001-56;376.827.427-0028;Fazenda Vargem do Lobo;SN  2 Quinhão;Area Rural;LAGOA SANTA;MG;33241-899;NÃO;;;;;;;;;;;;
44;BH MADEFORMAS LTDA;27;FORMA PARA CONCRETO;Rêmulo / Telmo;(31)3371-8100 ;(31)99769-2033;bhmadeiras@bhmadeiras.com.br, telmo@bhmadeiras.com.br;11.812.877/0001-01;001.583.670-0044;Rua Paraoquena;35 – LJ 02 ;Nova Granada;BELO HORIZONTE;MG;30.431-420;SIM;;;;;;;;;;;;
208;MADEIRAS MONTESE LTDA;27;FORMA PARA CONCRETO;Orlando / Leonardo;(31)3421-3000 ;(31)99983-7941;leonardo@madeirasmontese.com.br;02.695.038/0001-51;062.857.285-0065;Rua Major Delfino de Paula;2443;São Francisco;BELO HORIZONTE;MG;31255-170;SIM;;;;;;;;;;;;
210;MADEIREIRA ESTRELA;27;FORMA PARA CONCRETO;Alberto Júnior;(31)3476-8131;(31)0000;vendas@madeireiraestrela.com.br;03.328.476/0001-44;062.041.352-0012;Av. Horáclito Mourão de Miranda;2540;Castelo;BELO HORIZONTE;MG;31330-142;;;;;;;;;;;;;
192;MADEIREIRA LARA AMARAL LTDA;27;FORMA PARA CONCRETO;Camilo / Conceição;(31)3474-1292 ;(31)98487-3176;madeirasrdm@hotmail.com;17.677.853/0001-65;002.108.274-0004;Rua Imperial;63;São Sebastião;BELO HORIZONTE;MG;30881-570;SIM;;;;;;;;;;;;
215;MADEPLAN - MADEIREIRA PLANALTO LTDA;27;FORMA PARA CONCRETO;Fábio / Henrique;(31)3464-1906;(31)0000;henriquepedrosa@madeplan.com.br, diretoria@madeplan.com.br;21.097.712/0001-40;062.272.884-0031;Av. Dom Pedro II;4130;Pedro II;BELO HORIZONTE;MG;30710-010;SIM;;;;;;;;;;;;
225;MER - COMÉRCIO DE MADEIRAS LTDA;27;FORMA PARA CONCRETO;Edson / Eliane;(31)3371-8188 ;(31)99252-0378;mer.madeiras.mer@gmail.com;66.190.562/0001-53;062.760.350-0043;Av Barão Homem de Melo;1325;Nova Granada;BELO HORIZONTE;MG;30450-250;NÃO;;;;;;;;;;;;
303;TECFER COMERCIO DE FERROS E MATERIAIS DE CONSTRUÇÃO LTDA;27;FORMA PARA CONCRETO;Alexandre / Claudia;(31)3374-6000;(31)3374-6000;gerencia@tecfer.com.br, gerentegeral@tecfer.com.br;42.979.237/0001-06;062.824.992-0073;Av. Tereza Cristina;6822;Nova Vista;BELO HORIZONTE;MG;30516-120;SIM;;;;;;;;;;;;
147;FORROBRAS COMERCIO DE FORROS LTDA;28;FORRO E DIVISÓRIA;Rosalvo;(31)3417-8222 ;(31)99985-6500;rosalvo.forrobras@gmail.com, forrobras@forrobras.com.br;04.962.066/0001-13;062.169.130-0070;Rua Magnetita;55;Inconfidência;BELO HORIZONTE;MG;30830-120;SIM;;;;;;;;;;;;
153;GESSO ANAPOLIS LTDA ME;28;FORRO E DIVISÓRIA;Milton, Sonia;(31)3357-2560 ;(31)99733-3713;anapolisgesso@yahoo.com.br;01.276.171/0001-00;186.359.646-0037;Av. João Gomes Cardoso;100;Jardim Laguna;CONTAGEM;MG;32140-172;NÃO;;;;;;;;;;;;
247;PAINEL INDUSTRIA E COMERCIO DE DIVISORIAS E FORROS LTDA;28;FORRO E DIVISÓRIA;Miguel ;(31)3442-9494 ;(31)98301-7226;paineldivisorias@gmail.com;17.318.650/0001-82;062.355.248-0012;Av. Apio Cardoso;1038;Cincão;CONTAGEM;MG;32371-615;SIM;;;;;;;;;;;;
249;PASSALAQUA & CIA LTDA;28;FORRO E DIVISÓRIA;Jeferson / Tiago;(31)3078-5427 ;(31)3078-5427;revestbh04@passalaqua.com.br;55.973.366/0022-63;062.431.126-0643;Rua Castigliano ;1312;Monsenhor Messias;BELO HORIZONTE;MG;30720-472;SIM;;;;;;;;;;;;
277;REVEST INSTALAÇÕES E COMERCIO DE REVESTIMENTOS LTDA;28;FORRO E DIVISÓRIA;Romilda / Gabriel;(31)3337-5777 ;(31)98471-0717;romilda@revestiform.com.br, revestiform@revestiform.com.br;34.077.147/0001-00;003.768.845-0071;Rua Paracatu;153;Barro Preto;BELO HORIZONTE;MG;30180-090;SIM;;;;;;;;;;;;
300;SUPERGESSO IND. COM. LTDA;28;FORRO E DIVISÓRIA;Antonio / Heli;(31)3442-7666;(31)0000;supergesso1@gmail.com;25.436.353/0001-60;062.593.883-0078;Rua Belmiro de Almeida;225;São Cristovão;BELO HORIZONTE;MG;31230-230;SIM;;;;;;;;;;;;
323;VAN PISOS E CARPETES LTDA;28;FORRO E DIVISÓRIA;Antonio;(31)3278-1100;(31)0000;vanpisos@gmail.com;07.674.889/0001-31;062.424.048-0026;Rua Padre Eustáquio;391  Lj 1;Carlos Prates;BELO HORIZONTE;MG;30710-580;SIM;;;;;;;;;;;;
40;ACABAMENTOS BEL LAR LTDA;29;HIDROSANITÁRIO E GAS;André ;(31)3297-0022;(31)99613-1292;andre@bellar.com.br;17.311.465/0001-66;062.012.734-0059;Rua Nossa senhora de Lourdes;441    Galpão 09 e 10;Olhos D'agua;BELO HORIZONTE;MG;30.390-530;SIM;;;;;;;;;;;;
59;CASA FERREIRA GONÇALVES LTDA;29;HIDROSANITÁRIO E GAS;Sebastião / Fernando;(31)3071-2205 ;(31)98473-1514;fernandohenrique@cfg.com.br;17.250.275/0003-48;062.003.469-0823;Rua Jornalista Zoltan Gluek;93;Cidade Industrial;CONTAGEM;MG;32.210-090;SIM;;;;;;;;;;;;
82;COFERMETA S.A - Divisão Hidraulica;29;HIDROSANITÁRIO E GAS;Wenderson / Richard ;(31)3290-2200 ;(31)98709-1211;hidraulica@cofermeta.com.br;17.281.973/0003-00;062.001.061-0714;Rua Goitacases;1.600;Barro Preto;BELO HORIZONTE;MG;30.190-052;SIM;;;;;;;;;;;;
117;ELETRO BETIM LTDA;29;HIDROSANITÁRIO E GAS;Márcio / Tiago;(31)3532-3432 ;(31)99488-6929;vendasehb@eletrobetim.com.br;25.973.033/0005-72;067.619.318-0418;Av. das Américas;606;Filadelfia;BETIM;MG;32510-380;SIM;;;;;;;;;;;;
151;GASMECANICA PROJ.COM.E MONT.PARA GAS GLP E GN LTDA;29;HIDROSANITÁRIO E GAS;Sidney / Misael;(31)3318-9527 ;(31)99306-0183;vendas@gasmecanica.com.br;11.030.090/0001-80;1.329.756-0002;Av. Aggeo Pio Sobrinho;192;Buritis;BELO HORIZONTE;MG;30575-834;SIM;;;;;;;;;;;;
159;HIDROCENTER VÁLVULAS TUBOS E CONEXÕES LTDA;29;HIDROSANITÁRIO E GAS;Gilberto ;(31)3418-3333 ;(31)99159-5007;gilberto@hydrocenter.com.br, hydrocenter@hydrocenter.com.br;06.193.823/0001-67;062.299.333-0003;Rua  Adonias Filho;99;Santa Maria;BELO HORIZONTE;MG;30525-130;SIM;;;;;;;;;;;;
168;IMPÉRIO DOS TUBOS LTDA;29;HIDROSANITÁRIO E GAS;Márcio / Juliana;(31)3398-1019;(31)99680-1275;marcio@imperiodostubos.com.br;19.215.169/0001-97;186.210.817-0092;Rua Maria Conceição de São José;45;Centro;CONTAGEM;MG;32041-300;SIM;;;;;;;;;;;;
107;J MAGALHÃES LTDA ;29;HIDROSANITÁRIO E GAS;Nonato / Zezinho;(31)3474-2100;(31)98485-7175;estreladalva@depositoestreladalva.com.br;17.272.618/0001-03;062.005215-0045;Av. Abilio Machado;1456;Alipio de Melo;BELO HORIZONTE;MG;30820-272;SIM;;;;;;;;;;;;
93;JB COMERCIO E DISTRIBUIDORA LTDA;29;HIDROSANITÁRIO E GAS;Helena Fernandes;(31)3482-5433;(31)97300-0263;vendas@jbcimento.com.br, helena@jbcimento.com.br;15.373.066/0001-02;001.946.815-0070;Rua Vila Real ;767;São Francisco;BELO HORIZONTE;MG;31255-150;NÃO;;;;;;;;;;;;
